IBOV - Carteira do Dia 14/06/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;234.689.601;0,366;
ALSO3;ALIANSCSONAE;ON      NM;532.365.440;0,594;
ALPA4;ALPARGATAS;PN      N1;202.765.994;0,104;
ABEV3;AMBEV S/A;ON;4.386.652.506;3,290;
ARZZ3;AREZZO CO;ON      NM;60.758.326;0,226;
ASAI3;ASSAI;ON      NM;1.190.824.431;0,772;
AZUL4;AZUL;PN      N2;327.646.296;0,295;
B3SA3;B3;ON      NM;5.733.398.051;4,115;
BBSE3;BBSEGURIDADE;ON      NM;671.682.536;1,010;
BBDC3;BRADESCO;ON  EJ  N1;1.500.631.902;1,064;
BBDC4;BRADESCO;PN  EJ  N1;5.146.612.491;4,232;
BRAP4;BRADESPAR;PN      N1;251.008.334;0,280;
BBAS3;BRASIL;ON  EDJ NM;1.420.731.069;3,393;
BRKM5;BRASKEM;PNA     N1;265.212.486;0,348;
BRFS3;BRF SA;ON      NM;1.076.512.610;0,467;
BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,731;
CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,298;
CCRO3;CCR SA;ON      NM;998.462.635;0,696;
CMIG4;CEMIG;PN      N1;1.442.098.974;0,889;
CIEL3;CIELO;ON      NM;1.095.401.258;0,252;
COGN3;COGNA ON;ON      NM;1.815.524.541;0,275;
CPLE6;COPEL;PNB     N2;1.563.365.506;0,604;
CSAN3;COSAN;ON      NM;1.171.063.698;1,006;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,284;
CMIN3;CSNMINERACAO;ON      N2;1.110.550.596;0,241;
CVCB3;CVC BRASIL;ON      NM;275.967.676;0,057;
CYRE3;CYRELA REALT;ON      NM;274.142.301;0,253;
DXCO3;DEXCO;ON      NM;274.863.424;0,114;
ELET3;ELETROBRAS;ON      N1;2.019.004.498;3,812;
ELET6;ELETROBRAS;PNB     N1;275.526.814;0,592;
EMBR3;EMBRAER;ON      NM;734.632.205;0,725;
ENBR3;ENERGIAS BR;ON      NM;246.028.184;0,283;
ENGI11;ENERGISA;UNT     N2;248.477.689;0,551;
ENEV3;ENEVA;ON      NM;1.577.877.205;0,920;
EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,551;
EQTL3;EQUATORIAL;ON      NM;1.115.920.673;1,705;
EZTC3;EZTEC;ON      NM;94.318.339;0,085;
FLRY3;FLEURY;ON  EB  NM;422.811.447;0,313;
GGBR4;GERDAU;PN      N1;1.093.112.629;1,350;
GOAU4;GERDAU MET;PN      N1;667.194.478;0,384;
GOLL4;GOL;PN      N2;218.221.868;0,107;
NTCO3;GRUPO NATURA;ON      NM;838.904.847;0,657;
SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,268;
HAPV3;HAPVIDA;ON      NM;4.324.011.467;0,843;
HYPE3;HYPERA;ON      NM;400.842.480;0,893;
IGTI11;IGUATEMI S.A;UNT     N1;215.741.055;0,231;
IRBR3;IRBBRASIL RE;ON      NM;81.445.253;0,150;
ITSA4;ITAUSA;PN      N1;5.014.245.900;2,303;
ITUB4;ITAUUNIBANCO;PN      N1;4.801.630.041;6,559;
JBSS3;JBS;ON      NM;1.134.986.483;1,009;
KLBN11;KLABIN S/A;UNT     N2;701.899.756;0,766;
RENT3;LOCALIZA;ON      NM;773.535.098;2,501;
LWSA3;LOCAWEB;ON      NM;430.758.874;0,182;
LREN3;LOJAS RENNER;ON      NM;950.702.967;1,004;
MGLU3;MAGAZ LUIZA;ON  ATZ NM;2.874.188.573;0,531;
MRFG3;MARFRIG;ON      NM;292.587.273;0,106;
CASH3;MELIUZ;ON      NM;69.155.277;0,030;
BEEF3;MINERVA;ON      NM;260.340.982;0,142;
MRVE3;MRV;ON      NM;305.322.465;0,166;
MULT3;MULTIPLAN;ON      N2;266.933.994;0,350;
PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,134;
PETR3;PETROBRAS;ON  EDJ N2;2.990.884.064;4,745;
PETR4;PETROBRAS;PN  EDJ N2;4.566.511.125;6,474;
PRIO3;PETRORIO;ON      NM;839.159.130;1,415;
PETZ3;PETZ;ON      NM;335.865.260;0,119;
RADL3;RAIADROGASIL;ON      NM;1.163.955.366;1,635;
RAIZ4;RAIZEN;PN      N2;1.200.488.532;0,229;
RDOR3;REDE D OR;ON      NM;1.095.177.074;1,735;
RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,349;
SBSP3;SABESP;ON      NM;340.002.999;0,897;
SANB11;SANTANDER BR;UNT;355.642.848;0,529;
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,257;
CSNA3;SID NACIONAL;ON;589.695.175;0,365;
SLCE3;SLC AGRICOLA;ON      NM;105.899.222;0,184;
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,680;
TAEE11;TAESA;UNT     N2;218.568.234;0,404;
VIVT3;TELEF BRASIL;ON;423.091.712;0,892;
TIMS3;TIM;ON      NM;808.436.195;0,585;
TOTS3;TOTVS;ON      NM;513.869.896;0,756;
UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,952;
USIM5;USIMINAS;PNA     N1;515.014.562;0,184;
VALE3;VALE;ON      NM;4.035.078.991;13,445;
VIIA3;VIA;ON  ATZ NM;1.576.975.642;0,197;
VBBR3;VIBRA;ON      NM;1.114.442.976;0,962;
WEGE3;WEG;ON      NM;1.260.665.218;2,313;
YDUQ3;YDUQS PART;ON      NM;296.015.511;0,238;
Quantidade Teórica Total;;;95.838.159.161;100,000
Redutor;;;17.437.972,68052748
